czas[s],pozycja_y[pixel],wyjscie_y,bład errox_y,P=0.13,I= 0,D= 0
0.0,33,27,-207
0.46,33,27,-207
0.54,32,27,-208
0.62,33,27,-207
0.66,32,27,-208
0.73,32,27,-208
0.79,30,27,-210
0.85,31,27,-209
0.9,32,27,-208
0.95,33,27,-207
1.01,41,26,-199
1.07,47,25,-193
1.12,55,24,-185
1.19,59,24,-181
1.24,72,22,-168
1.29,79,21,-161
1.34,84,20,-156
1.41,94,19,-146
1.48,105,18,-135
1.53,110,17,-130
1.59,122,15,-118
1.64,133,14,-107
1.7,143,13,-97
1.75,155,11,-85
1.81,160,10,-80
1.87,172,9,-68
1.92,183,7,-57
1.98,195,6,-45
2.04,202,5,-38
2.11,215,3,-25
2.17,222,2,-18
2.23,238,0,-2
2.29,252,-2,12
2.34,266,-3,26
2.4,282,-5,42
2.47,290,-6,50
2.53,306,-9,66
2.58,322,-11,82
2.64,338,-13,98
2.69,346,-14,106
2.75,362,-16,122
2.81,378,-18,138
2.88,394,-20,154
2.94,402,-21,162
2.99,416,-23,176
3.04,438,-26,198
3.09,447,-27,207
3.14,444,-27,204
3.21,439,-26,199
3.27,431,-25,191
3.32,420,-23,180
3.38,415,-23,175
3.46,405,-21,165
3.54,395,-20,155
3.61,389,-19,149
3.66,378,-18,138
3.72,366,-16,126
3.79,353,-15,113
3.86,333,-12,93
3.91,319,-10,79
3.98,311,-9,71
4.03,297,-7,57
4.09,280,-5,40
4.15,264,-3,24
4.23,248,-1,8
4.29,230,1,-10
4.37,212,4,-28
4.46,204,5,-36
4.53,187,7,-53
4.58,168,9,-72
4.65,153,11,-87
4.7,125,15,-115
4.77,108,17,-132
4.82,88,20,-152
4.86,70,22,-170
4.91,54,24,-186
4.97,46,25,-194
5.02,32,27,-208
5.08,36,27,-204
5.13,43,26,-197
5.19,52,24,-188
5.25,62,23,-178
5.32,67,22,-173
5.36,77,21,-163
5.42,88,20,-152
5.46,94,19,-146
5.51,106,17,-134
5.61,118,16,-122
5.67,123,15,-117
5.8,134,14,-106
5.85,141,13,-99
5.91,154,11,-86
5.99,173,9,-67
6.04,187,7,-53
6.11,210,4,-30
6.16,226,2,-14
6.24,241,0,1
6.3,256,-2,16
6.38,272,-4,32
6.44,288,-6,48
6.49,297,-7,57
6.56,322,-11,82
6.62,338,-13,98
6.71,354,-15,114
6.76,370,-17,130
6.82,379,-18,139
6.88,396,-20,156
6.93,411,-22,171
6.99,440,-26,200
7.1,443,-26,203
7.15,446,-27,206
7.21,440,-26,200
7.28,426,-24,186
7.36,420,-23,180
7.42,403,-21,163
7.48,393,-20,153
7.55,379,-18,139
7.61,366,-16,126
7.66,354,-15,114
7.72,339,-13,99
7.77,325,-11,85
7.89,309,-9,69
7.95,294,-7,54
8.01,279,-5,39
8.08,271,-4,31
8.13,255,-2,15
8.19,230,1,-10
8.3,212,4,-28
8.36,196,6,-44
8.48,177,8,-63
8.53,168,9,-72
8.58,152,11,-88
8.71,126,15,-114
8.76,108,17,-132
8.82,73,22,-167
8.91,65,23,-175
8.98,48,25,-192
9.04,35,27,-205
9.1,39,26,-201
9.16,48,25,-192
9.21,62,23,-178
9.3,79,21,-161
9.35,79,21,-161
9.41,83,20,-157
9.53,93,19,-147
