czas[s],pozycja_x[pixel],wyjscie regulatora_x,bład errox_x,pozycja_y[pixel],wyjscie regulatora y,bład error_y
0.0,320,0,0,240,0,0
0.45,320,0,0,240,0,0
0.53,320,0,0,240,0,0
0.61,320,0,0,240,0,0
0.66,320,0,0,240,0,0
0.75,320,0,0,240,0,0
0.8,320,0,0,240,0,0
0.89,320,0,0,240,0,0
0.95,320,0,0,240,0,0
1.02,320,0,0,240,0,0
1.08,320,0,0,240,0,0
1.13,320,0,0,240,0,0
1.18,320,0,0,240,0,0
1.24,320,0,0,240,0,0
1.3,320,0,0,240,0,0
1.36,320,0,0,240,0,0
1.42,320,0,0,240,0,0
1.5,320,0,0,240,0,0
1.58,320,0,0,240,0,0
1.63,320,0,0,240,0,0
1.68,320,0,0,240,0,0
1.73,320,0,0,240,0,0
1.81,320,0,0,240,0,0
1.87,320,0,0,240,0,0
1.92,320,0,0,240,0,0
1.98,320,0,0,240,0,0
2.05,320,0,0,240,0,0
2.11,320,0,0,240,0,0
2.17,320,0,0,240,0,0
2.24,320,0,0,240,0,0
2.3,320,0,0,240,0,0
2.35,320,0,0,240,0,0
2.41,320,0,0,240,0,0
2.48,320,0,0,240,0,0
2.54,320,0,0,240,0,0
2.61,320,0,0,240,0,0
2.67,320,0,0,240,0,0
2.74,320,0,0,240,0,0
2.81,320,0,0,240,0,0
2.88,320,0,0,240,0,0
2.96,320,0,0,240,0,0
3.03,320,0,0,240,0,0
3.09,320,0,0,240,0,0
3.15,320,0,0,240,0,0
3.2,320,0,0,240,0,0
3.25,320,0,0,240,0,0
3.3,320,0,0,240,0,0
3.35,320,0,0,240,0,0
3.42,320,0,0,240,0,0
3.47,320,0,0,240,0,0
3.53,320,0,0,240,0,0
3.57,320,0,0,240,0,0
3.62,320,0,0,240,0,0
3.67,320,0,0,240,0,0
3.74,320,0,0,240,0,0
3.8,320,0,0,240,0,0
3.84,320,0,0,240,0,0
3.9,320,0,0,240,0,0
3.97,320,0,0,240,0,0
