czas[s],pozycja_x[pixel],wyjscie regulatora_x,bład errox_x,pozycja_y[pixel],wyjscie regulatora y,bład error_y
0.0,152,-59,-168,28,46,-212
0.47,152,-61,-168,28,48,-212
0.54,153,-59,-167,28,49,-212
0.62,154,-59,-166,33,37,-207
0.68,152,-72,-168,33,51,-207
0.76,154,-57,-166,28,65,-212
0.82,154,-67,-166,26,58,-214
0.88,154,-69,-166,27,53,-213
0.95,154,-70,-166,26,59,-214
1.01,157,-59,-163,30,47,-210
1.07,162,-51,-158,34,47,-206
1.13,166,-52,-154,34,58,-206
1.19,170,-56,-150,39,47,-201
1.25,177,-37,-143,42,50,-198
1.31,182,-49,-138,46,49,-194
1.36,190,-34,-130,52,43,-188
1.42,194,-51,-126,56,49,-184
1.48,202,-23,-118,68,18,-172
1.52,212,-11,-108,81,14,-159
1.57,222,-26,-98,95,23,-145
1.63,228,-41,-92,102,40,-138
1.69,239,-15,-81,120,7,-120
1.75,254,11,-66,138,1,-102
1.81,259,-35,-61,148,23,-92
1.86,266,-33,-54,157,31,-83
1.93,279,-6,-41,179,-1,-61
1.99,294,19,-26,200,-14,-40
2.04,307,6,-13,222,-13,-18
2.1,321,29,1,245,-34,5
2.15,328,-17,8,256,12,16
2.21,342,14,22,282,-27,42
2.28,356,27,36,306,-36,66
2.33,370,23,50,332,-37,92
2.39,386,42,66,359,-51,119
2.44,394,8,74,373,-17,133
2.5,408,27,88,400,-43,160
2.56,422,43,102,428,-64,188
2.62,430,19,110,445,-39,205
2.67,443,30,123,456,-16,216
2.75,453,27,133,448,25,208
2.81,455,-2,135,437,34,197
2.87,464,32,144,418,59,178
2.93,471,31,151,397,75,157
2.98,477,30,157,377,79,137
3.02,481,19,161,357,73,117
3.07,488,37,168,334,86,94
3.13,487,-2,167,310,86,70
3.18,488,9,168,299,51,59
3.24,493,28,173,276,85,36
3.3,497,23,177,265,50,25
3.36,499,19,179,246,77,6
3.42,500,16,180,237,53,-3
3.48,503,27,183,222,72,-18
3.53,501,4,181,210,71,-30
3.59,502,20,182,203,51,-37
3.64,508,47,188,197,52,-43
3.7,506,10,186,191,53,-49
3.75,504,13,184,190,39,-50
3.82,497,-15,177,190,37,-50
3.87,499,29,179,191,34,-49
3.93,493,-11,173,195,23,-45
3.98,491,11,171,198,26,-42
4.02,484,-14,164,206,11,-34
4.07,476,-18,156,217,2,-23
4.13,468,-22,148,229,-5,-11
4.17,464,-2,144,235,12,-5
4.22,455,-26,135,250,-14,10
4.27,449,-14,129,258,3,18
4.32,439,-32,119,275,-23,35
4.37,435,-2,115,286,-6,46
4.42,424,-45,104,304,-37,64
4.47,419,-10,99,314,-8,74
4.52,409,-37,89,334,-42,94
4.61,405,0,85,345,-5,105
4.66,395,-33,75,365,-40,125
4.71,390,-9,70,376,-15,136
4.8,382,-19,62,396,-35,156
4.86,378,-7,58,406,-19,166
4.91,366,-51,46,438,-92,198
4.97,363,-10,43,448,-34,208
5.02,356,-31,36,452,-16,212
5.07,348,-19,28,433,27,193
5.17,345,-8,25,427,8,187
5.24,339,-26,19,413,36,173
5.3,337,-6,17,396,36,156
5.36,335,-9,15,389,18,149
5.42,333,-8,13,374,37,134
5.49,328,-17,8,350,49,110
5.56,326,-8,6,333,39,93
5.63,325,-6,5,316,50,76
5.7,324,-6,4,309,24,69
5.75,322,-11,2,295,47,55
5.81,321,-7,1,281,49,41
5.86,319,-11,-1,269,40,29
5.92,318,-7,-2,258,41,18
5.98,317,-7,-3,249,35,9
6.04,315,-12,-5,241,34,1
6.11,314,-8,-6,235,29,-5
6.17,311,-18,-9,233,22,-7
6.23,309,-14,-11,229,27,-11
6.28,307,-16,-13,226,26,-14
6.33,305,-17,-15,226,17,-14
6.38,301,-30,-19,229,7,-11
6.43,299,-14,-21,233,9,-7
6.5,299,-8,-21,235,14,-5
6.62,297,-18,-23,242,-3,2
6.68,294,-19,-26,251,-3,11
6.75,294,-10,-26,255,4,15
6.82,294,-10,-26,260,1,20
6.88,290,-28,-30,275,-28,35
6.94,287,-24,-33,292,-34,52
7.0,286,-17,-34,304,-23,64
7.06,283,-25,-37,316,-24,76
7.12,282,-18,-38,328,-27,88
7.18,278,-31,-42,339,-26,99
7.24,278,-15,-42,351,-32,111
7.3,276,-24,-44,358,-20,118
7.37,274,-26,-46,370,-37,130
7.42,272,-24,-48,381,-26,141
7.51,270,-26,-50,392,-35,152
7.58,270,-19,-50,403,-34,163
7.66,270,-20,-50,412,-35,172
7.73,271,-16,-49,423,-41,183
7.79,272,-16,-48,426,-25,186
7.85,272,-20,-48,440,-59,200
7.91,272,-21,-48,445,-33,205
7.98,272,-21,-48,447,-29,207
8.04,273,-16,-47,450,-34,210
8.09,273,-22,-47,446,-18,206
8.17,273,-22,-47,446,-27,206
8.22,273,-22,-47,440,-10,200
8.28,275,-13,-45,433,-8,193
8.33,276,-18,-44,426,-9,186
8.39,276,-22,-44,421,-15,181
8.45,278,-13,-42,408,11,168
8.5,278,-23,-42,404,-16,164
8.56,279,-18,-41,393,2,153
8.62,282,-9,-38,383,0,143
8.68,282,-22,-38,376,-9,136
8.75,286,-3,-34,366,4,126
8.8,290,-2,-30,355,8,115
8.85,292,-11,-28,350,-8,110
8.9,297,-2,-23,340,-1,100
8.97,300,-6,-20,330,5,90
9.03,304,-4,-16,318,6,78
9.1,309,3,-11,308,6,68
9.16,310,-13,-10,303,-6,63
9.22,316,13,-4,293,12,53
9.27,321,7,1,283,10,43
9.33,325,4,5,274,10,34
9.38,329,-1,9,265,1,25
9.46,331,-4,11,260,-1,20
9.52,335,3,15,253,3,13
9.62,338,-3,18,245,0,5
9.69,341,1,21,242,-5,2
9.76,343,-1,23,235,6,-5
9.84,347,6,27,226,10,-14
9.89,349,2,29,224,-4,-16
9.94,352,8,32,219,6,-21
10.04,353,-4,33,218,-7,-22
10.09,355,4,35,218,-8,-22
10.14,356,-2,36,219,-10,-21
10.23,357,0,37,220,-11,-20
10.29,358,0,38,222,-13,-18
10.35,360,3,40,226,-16,-14
10.44,361,1,41,226,-9,-14
10.5,360,-7,40,230,-20,-10
10.56,361,2,41,234,-20,-6
10.61,361,-2,41,237,-18,-3
10.68,361,-1,41,241,-18,1
10.75,359,-8,39,248,-24,8
