czas[s],pozycja_x[pixel],wyjscie regulatora_x,bład errox_x,pozycja_y[pixel],wyjscie regulatora y,bład error_y
0.0,475,55,155,358,-26,118
0.46,474,54,154,355,-22,115
0.57,476,63,156,353,-25,113
0.68,476,60,156,352,-24,112
0.72,477,66,157,350,-22,110
0.78,478,66,158,347,-21,107
0.85,494,123,174,336,-4,96
0.92,504,110,184,331,-15,91
0.99,494,28,174,331,-27,91
1.04,481,13,161,329,-22,89
1.1,474,41,154,329,-28,89
1.16,454,-3,134,324,-18,84
1.24,441,6,121,321,-20,81
1.3,426,-6,106,318,-20,78
1.36,417,20,97,315,-20,75
1.41,399,-21,79,311,-17,71
1.47,381,-24,61,305,-12,65
1.53,349,-80,29,297,-7,57
1.59,339,0,19,294,-18,54
1.65,318,-59,-2,291,-18,51
1.71,308,-7,-12,286,-12,46
1.77,288,-54,-32,287,-28,47
1.82,269,-53,-51,275,6,35
1.88,248,-70,-72,276,-27,36
1.94,230,-53,-90,269,-7,29
2.0,220,-30,-100,257,9,17
2.06,203,-58,-117,248,0,8
2.12,186,-60,-134,245,-14,5
2.19,178,-26,-142,234,4,-6
2.25,165,-41,-155,226,-4,-14
2.35,151,-52,-169,216,2,-24
2.42,139,-66,-181,208,7,-32
2.47,129,-59,-191,202,1,-38
2.53,121,-48,-199,194,5,-46
2.59,112,-63,-208,187,7,-53
2.64,100,-82,-220,178,15,-62
2.7,115,20,-205,181,-16,-59
2.78,121,-8,-199,179,-7,-61
2.87,121,-26,-199,179,-10,-61
2.94,218,337,-102,0,395,-240
3.01,218,-6,-102,2,12,-238
3.08,219,-3,-101,0,22,-240
3.14,221,1,-99,10,-7,-230
3.2,254,128,-66,6,28,-234
3.27,280,96,-40,2,29,-238
3.34,280,5,-40,2,22,-238
3.4,280,4,-40,2,23,-238
3.46,280,4,-40,2,24,-238
3.53,280,4,-40,2,25,-238
3.58,280,3,-40,2,26,-238
3.63,280,3,-40,2,27,-238
3.69,280,3,-40,2,29,-238
3.77,280,2,-40,2,30,-238
3.85,280,2,-40,2,32,-238
3.93,280,2,-40,2,33,-238
3.99,280,1,-40,2,34,-238
4.04,219,-273,-101,1,38,-239
4.1,196,-110,-124,2,34,-238
4.17,189,-54,-131,5,29,-235
4.22,189,-22,-131,5,38,-235
4.27,189,-23,-131,5,39,-235
4.32,189,-24,-131,5,40,-235
4.38,207,58,-113,3,47,-237
4.43,208,-16,-112,2,45,-238
4.49,209,-17,-111,2,44,-238
4.54,193,-98,-127,2,45,-238
4.6,592,450,272,20,-14,-220
4.64,580,5,260,109,-225,-131
4.7,556,-46,236,150,-81,-90
4.76,517,-45,197,204,-61,-36
4.85,500,-24,180,223,-32,-17
4.91,466,-124,146,258,-90,18
4.96,452,-22,132,269,-18,29
5.02,434,-39,114,276,-7,36
5.08,426,5,106,268,31,28
5.14,429,50,109,251,51,11
5.21,430,44,110,247,24,7
5.27,434,55,114,242,25,2
5.34,437,52,117,236,26,-4
5.44,438,48,118,232,24,-8
5.51,447,79,127,223,36,-17
5.59,459,97,139,212,44,-28
5.65,471,100,151,197,54,-43
5.72,482,96,162,194,28,-46
5.8,499,128,179,182,51,-58
5.86,514,122,194,179,31,-61
5.94,519,93,199,178,28,-62
6.0,516,62,196,184,11,-56
6.06,511,56,191,185,23,-55
6.14,505,50,185,182,33,-58
6.2,498,53,178,179,32,-61
6.28,495,63,175,178,29,-62
6.34,495,76,175,171,42,-69
6.42,492,67,172,164,43,-76
6.49,489,64,169,155,56,-85
6.55,486,68,166,150,43,-90
6.62,490,94,170,155,22,-85
6.69,487,70,167,157,28,-83
6.76,483,64,163,160,24,-80
6.81,475,49,155,166,17,-74
6.89,469,62,149,168,28,-72
6.95,462,51,142,176,11,-64
7.01,451,43,131,189,4,-51
7.09,441,22,121,204,-22,-36
7.14,426,18,106,216,-1,-24
7.2,413,21,93,224,6,-16
7.26,396,12,76,245,-21,5
7.34,380,11,60,260,-11,20
7.41,364,-7,44,280,-35,40
7.46,352,9,32,288,-5,48
7.52,334,-18,14,294,1,54
7.58,312,-36,-8,325,-63,85
7.64,291,-32,-29,342,-30,102
7.71,270,-43,-50,359,-36,119
7.77,292,135,-28,327,86,87
7.83,276,-40,-44,355,-83,115
7.88,266,-9,-54,373,-52,133
7.93,264,30,-56,359,46,119
7.99,261,28,-59,345,36,105
8.05,261,39,-59,344,5,104
8.16,254,11,-66,359,-31,119
8.23,257,47,-63,356,8,116
8.31,259,44,-61,351,12,111
8.37,265,61,-55,346,13,106
8.44,270,59,-50,337,25,97
8.49,278,74,-42,323,40,83
8.55,284,68,-36,312,35,72
8.61,288,57,-32,301,32,61
8.72,291,49,-29,294,16,54
8.77,293,51,-27,291,15,51
8.83,293,42,-27,286,21,46
8.94,294,44,-26,277,21,37
8.99,294,41,-26,274,17,34
9.04,290,22,-30,261,46,21
9.15,288,35,-32,258,14,18
9.21,282,12,-38,254,21,14
9.26,272,7,-48,251,16,11
9.35,263,-11,-57,255,-2,15
