czas[s],pozycja_x[pixel],wyjscie regulatora_x,bład errox_x,pozycja_y[pixel],wyjscie regulatora y,bład error_y
0.0,329,3,9,8,54,-232
0.53,328,0,8,8,56,-232
0.61,548,450,228,18,24,-222
0.65,329,-450,9,8,79,-232
0.73,328,1,8,7,62,-233
0.79,330,12,10,8,58,-232
0.86,348,85,28,10,56,-230
0.92,584,450,264,55,-37,-185
0.99,598,129,278,88,-32,-152
1.05,362,-450,42,5,297,-235
1.1,355,-12,35,8,58,-232
1.17,406,207,86,11,60,-229
1.24,18,-450,-302,72,-106,-168
1.3,23,-41,-297,83,33,-157
1.36,102,349,-218,319,-450,79
1.41,155,208,-165,296,93,56
1.46,92,-355,-228,449,-435,209
1.52,4,-450,-316,232,450,-8
1.57,94,360,-226,288,-124,48
1.62,90,-73,-230,446,-409,206
1.68,97,-25,-223,288,431,48
1.74,16,-364,-304,224,175,-16
1.81,415,450,95,459,-450,219
1.9,153,-450,-167,303,352,63
1.95,119,-192,-201,389,-195,149
2.02,13,-450,-307,220,450,-20
2.08,112,323,-208,368,-328,128
2.14,125,-13,-195,302,164,62
2.22,96,-183,-224,305,16,65
2.27,127,74,-193,310,9,70
2.33,121,-90,-199,388,-189,148
2.39,194,276,-126,6,450,-234
2.44,212,23,-108,8,59,-232
2.51,217,-24,-103,3,78,-237
2.57,108,-450,-212,44,-59,-196
2.62,96,-127,-224,58,23,-182
2.68,409,450,89,5,206,-235
2.73,471,226,151,17,42,-223
2.8,422,-179,102,22,57,-218
2.87,439,73,119,84,-91,-156
2.94,383,-216,63,46,151,-194
3.0,373,-51,53,19,138,-221
3.07,393,73,73,100,-127,-140
3.12,435,153,115,126,4,-114
3.2,416,-69,96,20,311,-220
3.27,416,3,96,17,82,-223
3.33,416,4,96,17,76,-223
3.39,411,-20,91,18,74,-222
3.44,409,-7,89,19,75,-221
3.49,554,450,234,19,79,-221
3.54,385,-450,65,18,82,-222
3.61,385,0,65,17,83,-223
3.67,383,-8,63,18,79,-222
3.73,433,261,113,18,83,-222
3.78,473,218,153,18,84,-222
3.83,502,154,182,18,85,-222
3.89,525,138,205,18,86,-222
3.94,423,-383,103,14,97,-226
4.01,393,-138,73,8,107,-232
4.06,396,24,76,8,90,-232
4.11,347,-249,27,8,91,-232
4.16,352,26,32,8,92,-232
4.21,324,-145,4,8,93,-232
4.26,324,-6,4,7,97,-233
4.34,329,8,9,7,96,-233
4.41,472,450,152,10,90,-230
4.47,502,109,182,16,89,-224
4.58,361,-450,41,8,119,-232
4.64,362,10,42,10,97,-230
4.71,339,-73,19,2,119,-238
4.78,573,450,253,18,65,-222
4.86,596,138,276,202,-283,-38
4.93,517,-180,197,209,66,-31
5.01,472,-107,152,208,80,-32
5.09,442,-72,122,207,81,-33
5.16,432,1,112,209,75,-31
5.24,430,24,110,211,74,-29
5.3,435,55,115,215,68,-25
5.36,435,35,115,217,73,-23
5.42,435,36,115,216,81,-24
5.48,431,19,111,219,70,-21
5.53,417,-18,97,224,66,-16
5.6,407,-6,87,227,70,-13
5.67,400,0,80,230,69,-10
5.72,396,14,76,232,71,-8
5.78,388,-2,68,237,64,-3
5.85,384,15,64,240,69,0
5.92,382,20,62,241,73,1
5.97,383,34,63,243,70,3
6.03,383,30,63,244,72,4
6.09,384,35,64,246,69,6
6.14,388,45,68,249,68,9
6.22,388,33,68,256,55,16
6.28,386,25,66,263,56,23
6.34,382,20,62,267,64,27
6.42,381,28,61,271,60,31
6.48,375,7,55,279,49,39
6.54,367,-9,47,290,36,50
6.61,358,9,38,299,54,59
6.7,350,-8,30,308,41,68
6.76,345,5,25,316,43,76
6.81,342,11,22,325,36,85
6.87,342,26,22,334,35,94
6.92,341,22,21,341,42,101
6.98,341,26,21,354,24,114
7.04,340,22,20,358,46,118
7.11,340,26,20,365,38,125
7.18,340,26,20,374,30,134
7.24,340,26,20,377,44,137
7.3,342,36,22,383,34,143
7.36,340,19,20,392,25,152
7.42,345,50,25,399,28,159
7.48,347,37,27,404,32,164
7.53,350,41,30,406,39,166
7.6,349,25,29,412,26,172
7.65,349,30,29,416,31,176
7.72,350,34,30,418,35,178
7.78,350,30,30,421,30,181
7.84,354,44,34,424,31,184
7.93,356,39,36,424,36,184
7.99,357,38,37,424,35,184
8.04,358,38,38,428,21,188
8.09,361,46,41,430,28,190
8.15,367,55,47,433,25,193
8.23,369,48,49,440,6,200
8.27,376,73,56,439,31,199
8.33,377,44,57,438,31,198
8.37,381,58,61,440,21,200
8.43,380,37,60,440,26,200
8.49,384,63,64,440,25,200
8.54,384,42,64,438,31,198
8.58,387,57,67,439,21,199
8.64,387,44,67,439,22,199
8.7,385,34,65,440,19,200
8.75,384,39,64,441,18,201
8.8,382,37,62,442,17,202
8.87,383,49,63,443,16,203
8.93,384,50,64,442,20,202
8.98,385,50,65,442,17,202
9.04,387,55,67,441,18,201
9.11,388,51,68,440,16,200
9.19,387,44,67,441,11,201
9.25,388,53,68,440,15,200
9.32,389,54,69,441,9,201
9.37,390,54,70,440,12,200
9.45,397,84,77,435,24,195
9.5,436,240,116,415,67,175
9.56,448,107,128,407,29,167
9.65,465,121,145,398,28,158
