czas[s],pozycja_x[pixel],wyjscie regulatora_x,bład errox_x,pozycja_y[pixel],wyjscie regulatora y,bład error_y
9.71,475,125,155,395,21,155
9.76,477,84,157,391,21,151
9.83,478,80,158,390,13,150
9.9,478,78,158,389,13,149
9.96,481,92,161,388,12,148
10.03,484,95,164,387,12,147
10.09,347,-418,27,12,450,-228
10.15,490,450,170,380,-450,140
10.22,492,94,172,379,12,139
10.28,494,96,174,379,9,139
10.35,491,79,171,378,11,138
10.42,492,96,172,379,5,139
10.47,491,86,171,379,7,139
10.52,492,97,172,382,0,142
10.58,496,113,176,383,3,143
10.64,500,115,180,383,5,143
10.7,500,98,180,383,4,143
10.75,502,110,182,385,-3,145
10.8,502,101,182,385,3,145
10.84,504,111,184,385,2,145
10.9,504,103,184,385,2,145
10.95,506,112,186,387,-3,147
11.03,505,103,185,388,-3,148
11.1,506,113,186,390,-7,150
11.17,506,110,186,390,-2,150
11.23,508,121,188,391,-6,151
11.28,509,118,189,392,-7,152
11.33,518,151,198,396,-14,156
11.4,523,136,203,399,-13,159
11.47,525,130,205,402,-15,162
11.53,526,127,206,402,-9,162
11.61,526,125,206,402,-9,162
11.68,525,123,205,398,-1,158
11.74,526,132,206,403,-23,163
11.81,523,116,203,403,-12,163
11.86,521,123,201,403,-13,163
11.94,521,132,201,404,-16,164
12.0,520,129,200,402,-10,162
12.06,522,143,202,402,-15,162
12.12,520,127,200,405,-25,165
12.17,521,141,201,405,-17,165
12.24,519,130,199,407,-23,167
12.3,519,140,199,407,-19,167
12.36,519,141,199,407,-20,167
12.41,519,143,199,407,-21,167
12.47,519,144,199,406,-19,166
12.54,519,146,199,404,-17,164
12.61,518,143,198,406,-28,166
12.66,522,166,202,405,-21,165
12.72,524,161,204,405,-24,165
12.78,520,134,200,408,-33,168
12.83,513,119,193,412,-38,172
12.89,508,128,188,417,-42,177
12.94,508,154,188,417,-29,177
13.03,511,169,191,416,-27,176
13.09,511,157,191,412,-20,172
13.14,514,173,194,411,-28,171
13.19,520,188,200,412,-34,172
13.25,524,185,204,411,-29,171
13.3,532,211,212,416,-50,176
13.34,532,168,212,416,-34,176
13.39,536,189,216,415,-32,175
13.44,538,180,218,420,-49,180
13.5,540,183,220,419,-34,179
13.55,540,175,220,418,-36,178
13.62,542,187,222,420,-45,180
13.67,545,194,225,418,-33,178
13.72,547,190,227,417,-37,177
13.77,550,197,230,418,-44,178
13.83,551,190,231,418,-42,178
13.88,554,199,234,420,-47,180
13.95,556,198,236,421,-46,181
14.0,558,201,238,420,-42,180
14.06,559,197,239,420,-45,180
14.12,562,210,242,420,-46,180
14.17,563,203,243,420,-47,180
14.22,563,199,243,417,-40,177
14.33,563,202,243,415,-45,175
14.38,564,208,244,414,-47,174
14.45,565,210,245,414,-50,174
14.52,567,216,247,415,-53,175
14.6,567,211,247,415,-52,175
14.66,564,200,244,417,-58,177
14.73,564,214,244,419,-59,179
14.8,564,216,244,420,-58,180
14.87,564,218,244,420,-57,180
14.93,569,237,249,423,-64,183
15.02,571,231,251,428,-70,188
15.08,572,230,252,435,-78,195
15.15,566,208,246,444,-82,204
15.23,558,199,238,451,-82,211
15.29,554,208,234,452,-70,212
15.34,553,224,233,451,-65,211
15.39,554,236,234,448,-59,208
15.44,555,237,235,448,-70,208
15.5,554,230,234,449,-73,209
15.56,554,236,234,450,-74,210
15.63,554,238,234,451,-75,211
15.7,553,236,233,454,-81,214
15.76,553,241,233,453,-72,213
15.81,554,247,234,452,-74,212
15.87,553,240,233,452,-77,212
15.93,552,241,232,454,-84,214
15.98,553,251,233,454,-80,214
16.05,552,246,232,454,-81,214
16.12,552,251,232,454,-82,214
16.19,552,254,232,456,-88,216
16.26,550,248,230,454,-80,214
16.34,549,253,229,456,-90,216
16.41,548,255,228,457,-89,217
16.48,421,-213,101,11,450,-229
16.55,372,46,52,9,-22,-231
16.62,381,256,61,8,-23,-232
16.7,518,450,198,8,-24,-232
16.77,378,-263,58,10,-27,-230
16.84,497,450,177,10,-21,-230
16.91,502,276,182,11,-23,-229
16.96,514,308,194,10,-17,-230
17.03,412,-139,92,10,-18,-230
17.09,521,450,201,10,-16,-230
17.18,460,2,140,11,-18,-229
17.24,517,450,197,7,-3,-233
17.3,593,450,273,477,-450,237
17.36,299,-450,-21,2,450,-238
17.41,366,450,46,13,-44,-227
17.46,365,230,45,12,-10,-228
17.53,373,275,53,10,-5,-230
17.58,356,173,36,9,-8,-231
17.65,353,220,33,11,-14,-229
17.71,398,449,78,12,-11,-228
17.77,378,143,58,6,11,-234
17.82,485,450,165,381,-450,141
17.91,474,229,154,382,-59,142
17.99,458,207,138,386,-66,146
18.06,442,205,122,386,-59,146
18.14,430,212,110,380,-46,140
18.21,422,221,102,377,-52,137
18.26,416,229,96,378,-63,138
18.32,418,264,98,376,-56,136
18.38,415,245,95,373,-54,133
18.45,414,252,94,373,-62,133
18.51,411,244,91,373,-62,133
18.56,409,249,89,373,-63,133
18.63,409,257,89,372,-61,132
18.69,408,254,88,372,-64,132
18.75,404,241,84,376,-75,136
18.81,402,250,82,373,-58,133
18.87,404,266,84,374,-68,134
18.94,404,259,84,376,-73,136
18.99,402,250,82,376,-68,136
19.04,401,256,81,376,-68,136
19.1,400,255,80,377,-72,137
19.15,396,242,76,378,-72,138
19.21,395,256,75,379,-73,139
19.27,385,214,65,380,-74,140
19.32,380,241,60,381,-74,141
19.4,371,221,51,390,-95,150
19.46,364,221,44,393,-84,153
19.51,360,243,40,397,-84,157
19.6,352,217,32,405,-100,165
19.66,350,245,30,413,-99,173
19.72,345,235,25,419,-95,179
19.8,341,238,21,425,-96,185
19.88,340,248,20,427,-90,187
19.96,333,228,13,438,-109,198
20.03,332,246,12,441,-96,201
20.1,332,250,12,444,-97,204
20.19,330,240,10,444,-93,204
20.25,331,254,11,446,-99,206
20.3,336,272,16,445,-92,205
20.36,334,243,14,443,-91,203
20.43,332,243,12,441,-92,201
20.5,330,242,10,441,-97,201
20.57,329,245,9,441,-98,201
20.62,327,242,7,441,-99,201
20.69,328,253,8,440,-98,200
20.76,328,250,8,436,-91,196
20.82,333,266,13,429,-88,189
20.9,343,283,23,416,-77,176
20.98,357,300,37,412,-94,172
21.06,372,315,52,397,-67,157
21.13,394,354,74,394,-93,154
21.19,404,309,84,404,-127,164
21.26,416,317,96,414,-127,174
21.32,452,403,132,425,-130,185
21.4,469,365,149,434,-135,194
21.45,478,336,158,430,-97,190
21.5,505,407,185,435,-124,195
21.56,518,362,198,453,-166,213
21.62,508,272,188,461,-131,221
21.7,498,256,178,458,-110,218
21.76,502,316,182,461,-126,221
21.83,498,287,178,460,-118,220
21.9,502,320,182,458,-116,218
21.96,511,345,191,454,-112,214
22.02,516,331,196,454,-123,214
22.08,150,-450,-170,290,294,50
22.14,153,240,-167,293,-110,53
22.2,576,450,256,12,450,-228
22.26,534,125,214,6,-47,-234
22.32,518,255,198,2,-52,-238
22.39,406,-84,86,2,-60,-238
22.46,517,450,197,4,-64,-236
22.52,400,-87,80,7,-63,-233
22.6,388,244,68,7,-56,-233
22.67,526,450,206,434,-450,194
22.73,398,-204,78,5,450,-235
22.79,395,281,75,8,-62,-232
22.86,507,450,187,399,-450,159
22.92,400,-111,80,8,450,-232
22.99,400,296,80,4,-44,-236
23.05,390,252,70,6,-57,-234
23.12,393,305,73,8,-55,-232
23.19,497,450,177,392,-450,152
23.25,494,310,174,393,-105,153
23.32,493,318,173,388,-91,148
23.39,492,319,172,390,-108,150
23.46,489,311,169,394,-115,154
23.51,485,311,165,397,-112,157
23.59,479,291,159,399,-114,159
23.64,478,321,158,409,-130,169
23.71,477,321,157,418,-134,178
23.77,154,-450,-166,290,271,50
23.82,460,450,140,447,-450,207
23.88,475,392,155,422,-48,182
23.93,451,209,131,421,-112,181
23.99,512,450,192,3,450,-237
24.05,405,-144,85,6,-66,-234
24.1,386,222,66,6,-58,-234
24.15,298,-128,-22,1,-42,-239
24.21,515,450,195,4,-63,-236
24.26,401,-227,81,4,-54,-236
24.31,398,302,78,6,-58,-234
24.37,151,-450,-169,288,-450,48
24.43,376,450,56,8,450,-232
24.5,152,-450,-168,288,-450,48
24.55,377,450,57,8,450,-232
24.62,458,450,138,436,-450,196
24.69,377,30,57,8,450,-232
24.76,371,284,51,8,-51,-232
24.82,573,450,253,23,-92,-217
24.88,401,-420,81,7,-7,-233
24.94,384,232,64,4,-38,-236
24.99,354,169,34,5,-49,-235
25.04,308,122,-12,7,-50,-233
25.11,373,450,53,6,-41,-234
25.16,406,436,86,2,-34,-238
25.23,395,274,75,8,-56,-232
25.29,403,353,83,6,-36,-234
25.36,376,221,56,9,-46,-231
25.43,473,450,153,427,-450,187
25.48,473,339,153,427,-95,187
25.54,535,450,215,2,450,-238
25.61,517,273,197,2,-38,-238
25.67,406,-156,86,7,-50,-233
25.72,404,323,84,3,-29,-237
25.82,399,307,79,2,-31,-238
25.88,333,69,13,2,-32,-238
25.95,404,450,84,3,-34,-237
26.01,153,-450,-167,291,-450,51
26.06,154,277,-166,291,-69,51
26.11,513,450,193,4,434,-236
26.21,518,374,198,10,-42,-230
26.28,516,350,196,16,-44,-224
26.34,402,-80,82,4,0,-236
26.41,386,279,66,8,-33,-232
26.49,382,316,62,8,-24,-232
26.57,399,405,79,7,-20,-233
26.62,392,301,72,8,-25,-232
26.68,396,354,76,7,-18,-233
26.76,474,450,154,8,-21,-232
26.82,467,324,147,437,-450,197
26.88,458,316,138,443,-92,203
26.94,456,345,136,441,-74,201
27.01,458,362,138,443,-85,203
27.08,460,364,140,446,-89,206
27.13,460,357,140,440,-67,200
27.2,460,358,140,442,-87,202
27.27,462,367,142,441,-82,201
27.33,460,350,140,445,-98,205
27.38,400,133,80,12,450,-228
27.46,438,450,118,12,-27,-228
27.52,460,433,140,438,-450,198
27.59,460,364,140,438,-84,198
27.66,461,368,141,440,-89,200
27.75,461,367,141,439,-85,199
27.82,461,368,141,442,-96,202
27.88,460,365,140,440,-84,200
27.94,462,378,142,441,-93,201
28.0,463,375,143,442,-94,202
28.05,463,372,143,441,-90,201
28.13,461,366,141,440,-91,200
28.2,461,374,141,437,-88,197
28.28,462,379,142,442,-105,202
28.36,463,381,143,441,-95,201
28.42,463,379,143,440,-97,200
28.52,465,387,145,440,-100,200
28.6,464,378,144,438,-96,198
28.67,464,383,144,442,-111,202
28.73,466,393,146,438,-92,198
28.79,466,385,146,442,-114,202
28.85,465,382,145,435,-87,195
28.91,466,392,146,437,-111,197
28.96,405,83,85,8,450,-232
29.01,390,304,70,8,-47,-232
29.07,150,-432,-170,289,-450,49
29.15,394,450,74,8,450,-232
29.22,151,-450,-169,289,-450,49
29.27,405,450,85,8,450,-232
29.31,150,-450,-170,288,-450,48
29.36,394,450,74,8,450,-232
29.42,395,376,75,8,-44,-232
29.48,400,389,80,8,-42,-232
29.55,395,350,75,8,-41,-232
29.61,568,450,248,13,-53,-227
29.67,393,-362,73,7,-24,-233
29.73,567,450,247,14,-59,-226
29.82,391,-114,71,8,-26,-232
29.87,396,401,76,8,-36,-232
29.93,401,401,81,8,-34,-232
30.02,395,361,75,8,-33,-232
30.07,154,-450,-166,290,-450,50
30.14,154,324,-166,290,-70,50
30.23,150,311,-170,289,-69,49
30.29,407,450,87,6,450,-234
30.35,153,-429,-167,287,-450,47
30.43,153,319,-167,286,-66,46
30.49,152,314,-168,286,-70,46
30.55,390,450,70,8,450,-232
30.62,393,382,73,8,-31,-232
30.69,382,330,62,8,-30,-232
30.76,536,450,216,2,-13,-238
30.82,157,-450,-163,289,-450,49
30.88,155,312,-165,290,-68,50
30.95,374,450,54,11,450,-229
31.02,405,450,85,3,-7,-237
31.09,155,-450,-165,288,-450,48
31.14,155,318,-165,290,-69,50
31.2,155,317,-165,290,-64,50
31.26,154,311,-166,290,-64,50
31.31,154,314,-166,293,-73,53
31.37,154,313,-166,292,-62,52
31.43,154,312,-166,293,-67,53
31.5,389,450,69,6,450,-234
31.57,153,-450,-167,286,-450,46
31.65,394,450,74,8,450,-232
31.71,397,377,77,8,-25,-232
31.77,395,358,75,7,-21,-233
31.83,399,384,79,7,-22,-233
31.89,143,-450,-177,285,-450,45
31.97,415,450,95,1,450,-239
32.03,154,-450,-166,292,-450,52
32.08,155,315,-165,291,-56,51
32.14,468,450,148,6,450,-234
32.2,154,-450,-166,292,-450,52
32.27,154,309,-166,291,-55,51
32.32,406,450,86,2,450,-238
32.47,155,-123,-165,293,-357,53
32.51,154,301,-166,293,-58,53
32.57,396,450,76,2,450,-238
32.66,389,339,69,9,-30,-231
32.73,394,381,74,8,-14,-232
32.79,394,361,74,8,-16,-232
32.84,153,-450,-167,293,-450,53
32.89,154,309,-166,293,-54,53
32.96,155,306,-165,290,-49,50
33.05,400,450,80,8,450,-232
33.12,403,374,83,8,-15,-232
33.17,360,259,40,12,-18,-228
33.28,391,450,71,8,0,-232
33.34,377,297,57,8,-11,-232
33.4,388,390,68,8,-9,-232
33.48,380,314,60,8,-8,-232
33.53,397,430,77,8,-7,-232
33.59,153,-333,-167,286,-450,46
33.69,379,450,59,6,450,-234
33.76,376,341,56,9,-14,-231
33.84,371,344,51,10,-5,-230
33.92,375,373,55,9,0,-231
33.98,392,428,72,8,2,-232
34.05,395,374,75,8,0,-232
34.11,389,334,69,8,1,-232
34.16,365,261,45,12,-7,-228
34.25,476,450,156,8,11,-232
34.32,386,-2,66,8,5,-232
34.38,393,386,73,8,7,-232
34.46,388,343,68,8,8,-232
34.52,387,362,67,8,10,-232
34.61,416,450,96,10,5,-230
34.66,388,257,68,8,17,-232
34.73,372,313,52,10,9,-230
34.81,157,-450,-163,286,-450,46
34.87,157,314,-163,286,-23,46
34.93,571,450,251,3,450,-237
34.99,573,417,253,5,11,-235
35.05,155,-450,-165,288,-450,48
35.1,158,328,-162,289,-24,49
35.16,155,302,-165,287,-17,47
35.23,372,450,52,8,450,-232
35.29,372,362,52,10,12,-230
35.36,335,253,15,12,15,-228
35.45,427,450,107,10,24,-230
35.53,362,96,42,10,21,-230
