czas[s],pozycja_x[pixel],wyjscie regulatora_x,bład errox_x,pozycja_y[pixel],wyjscie regulatora y,bład error_y
0.0,152,-60,-168,48,42,-192
0.47,151,-64,-169,47,45,-193
0.56,151,-63,-169,48,42,-192
0.61,151,-64,-169,48,45,-192
0.67,151,-65,-169,48,46,-192
0.72,151,-66,-169,49,44,-191
0.78,151,-68,-169,48,50,-192
0.86,150,-74,-170,48,49,-192
0.9,149,-75,-171,47,53,-193
0.96,153,-50,-167,47,51,-193
1.01,156,-55,-164,52,35,-188
1.06,140,-161,-180,61,21,-179
1.11,163,32,-157,70,26,-170
1.16,167,-50,-153,57,93,-183
1.21,173,-41,-147,59,47,-181
1.26,176,-54,-144,60,50,-180
1.3,183,-36,-137,67,32,-173
1.36,187,-54,-133,68,51,-172
1.42,198,-8,-122,76,27,-164
1.46,202,-47,-118,80,40,-160
1.51,211,-25,-109,88,31,-152
1.56,218,-33,-102,91,45,-149
1.61,231,4,-89,101,21,-139
1.66,246,-11,-74,111,32,-129
1.74,254,-20,-66,118,31,-122
1.79,261,-21,-59,123,35,-117
1.83,276,-3,-44,138,18,-102
1.9,283,-14,-37,146,22,-94
1.95,299,11,-21,162,10,-78
2.01,316,40,-4,178,-4,-62
2.06,331,36,11,196,-14,-44
2.11,339,1,19,205,14,-35
2.16,355,50,35,224,-23,-16
2.2,372,56,52,243,-23,3
2.25,380,10,60,254,1,14
2.3,396,49,76,276,-31,36
2.35,403,11,83,287,-3,47
2.4,419,60,99,311,-46,71
2.44,427,21,107,323,-10,83
2.49,441,57,121,347,-52,107
2.54,447,9,127,359,-6,119
2.61,460,39,140,382,-35,142
2.67,464,11,144,392,-13,152
2.73,471,27,151,404,-21,164
2.78,483,61,163,428,-66,188
2.83,485,10,165,437,-21,197
2.88,490,26,170,452,-40,212
2.93,490,3,170,449,12,209
2.98,480,-39,160,431,49,191
3.04,478,-6,158,420,34,180
3.1,478,4,158,413,25,173
3.15,476,-6,156,404,34,164
3.21,469,-25,149,388,47,148
3.26,464,-21,144,371,59,131
3.32,460,-18,140,362,39,122
3.37,453,-12,133,346,33,106
3.48,445,-27,125,326,58,86
3.54,442,-11,122,318,36,78
3.59,436,-27,116,304,56,64
3.65,431,-22,111,290,57,50
3.7,428,-13,108,282,42,42
3.75,420,-36,100,266,64,26
3.8,415,-28,95,258,48,18
3.85,410,-25,90,251,43,11
3.9,408,-10,88,249,28,9
3.95,403,-28,83,246,32,6
3.99,400,-16,80,244,29,4
4.04,397,-17,77,244,22,4
4.09,395,-6,75,245,21,5
4.19,392,-16,72,247,16,7
4.24,390,-11,70,252,7,12
4.29,387,-12,67,255,14,15
4.36,386,-5,66,258,12,18
4.42,385,-5,65,266,-3,26
4.47,384,-3,64,282,-12,42
4.56,385,6,65,288,-4,48
4.6,385,1,65,301,-13,61
4.68,389,15,69,314,-12,74
4.76,391,13,71,327,-27,87
4.81,393,13,73,334,-10,94
4.93,400,23,80,356,-25,116
4.98,402,18,82,364,-22,124
5.03,406,29,86,380,-48,140
5.09,410,27,90,401,-53,161
5.14,411,16,91,408,-25,168
5.19,418,49,98,440,-106,200
5.28,420,21,100,446,-23,206
5.33,420,16,100,451,-27,211
5.38,425,33,105,448,-9,208
5.47,426,23,106,446,-10,206
5.52,429,35,109,438,9,198
5.57,433,34,113,423,12,183
5.66,436,39,116,417,5,177
5.71,433,9,113,407,16,167
5.75,432,21,112,395,12,155
5.83,431,20,111,382,25,142
5.88,431,25,111,376,6,136
5.93,428,16,108,357,28,117
6.01,426,17,106,350,10,110
6.06,424,17,104,338,24,98
6.18,419,16,99,326,7,86
6.24,413,1,93,314,24,74
6.3,411,18,91,310,4,70
6.37,404,5,84,298,16,58
6.44,397,2,77,290,11,50
6.52,381,-45,61,274,38,34
6.58,377,-4,57,271,9,31
6.62,368,-27,48,266,14,26
6.67,359,-8,39,258,13,18
6.76,351,-25,31,253,15,13
6.81,338,-49,18,244,27,4
6.86,333,1,13,241,6,1
6.97,325,-20,5,235,16,-5
7.03,319,-24,-1,233,9,-7
7.08,306,-39,-14,225,20,-15
7.15,302,-13,-18,223,10,-17
7.2,293,-44,-27,218,20,-22
7.25,280,-26,-40,210,16,-30
7.37,274,-27,-46,206,17,-34
7.44,270,-21,-50,205,10,-35
7.55,260,-30,-60,201,14,-39
7.59,257,-21,-63,200,11,-40
7.65,251,-43,-69,198,15,-42
7.71,241,-47,-79,196,13,-44
7.76,235,-43,-85,195,12,-45
7.81,227,-44,-93,197,5,-43
7.89,222,-34,-98,198,8,-42
7.97,218,-35,-102,201,3,-39
8.03,214,-41,-106,202,6,-38
8.08,210,-42,-110,204,4,-36
8.13,206,-37,-114,207,4,-33
8.22,201,-41,-119,210,4,-30
8.3,197,-45,-123,214,-1,-26
8.37,194,-43,-126,218,-2,-22
8.43,192,-42,-128,220,2,-20
8.48,190,-44,-130,225,-9,-15
8.52,186,-57,-134,231,-14,-9
8.57,186,-36,-134,236,-3,-4
8.65,186,-37,-134,242,-8,2
8.72,186,-38,-134,247,-10,7
8.82,186,-39,-134,250,-1,10
8.86,187,-35,-133,257,-19,17
8.91,189,-32,-131,260,-5,20
8.98,193,-31,-127,269,-12,29
9.07,196,-31,-124,275,-13,35
9.14,203,-17,-117,287,-26,47
9.22,206,-26,-114,290,-11,50
9.27,212,-20,-108,298,-20,58
9.34,218,-18,-102,306,-23,66
9.41,225,-3,-95,314,-31,74
9.46,231,-9,-89,322,-31,82
9.51,244,32,-76,334,-47,94
9.55,249,-10,-71,337,-19,97
9.6,258,4,-62,344,-29,104
9.66,266,2,-54,351,-31,111
9.72,276,12,-44,357,-30,117
9.78,282,0,-38,360,-24,120
9.83,290,10,-30,364,-28,124
9.89,294,-6,-26,368,-30,128
9.94,305,36,-15,372,-32,132
10.06,314,-5,-6,376,-25,136
10.11,322,22,2,378,-28,138
10.15,326,2,6,379,-25,139
10.26,334,1,14,379,-23,139
10.3,338,3,18,378,-20,138
10.35,353,68,33,372,-4,132
10.47,356,-6,36,369,-20,129
10.51,362,16,42,364,-10,124
10.57,370,12,50,355,-10,115
10.67,370,-8,50,352,-14,112
10.72,374,13,54,346,-5,106
10.77,381,11,61,334,-6,94
10.88,384,10,64,326,0,86
10.93,386,7,66,322,-10,82
10.98,391,10,71,311,-6,71
11.1,394,15,74,305,-3,65
11.15,397,16,77,301,-8,61
11.2,402,14,82,288,-3,48
11.33,402,4,82,285,-10,45
11.38,403,10,83,278,3,38
11.48,406,15,86,270,-4,30
11.52,408,19,88,266,-3,26
11.57,409,13,89,262,-4,22
11.66,412,18,92,254,-2,14
11.71,415,26,95,250,-3,10
11.76,416,17,96,246,-2,6
11.85,416,13,96,242,-6,2
11.89,416,14,96,242,-14,2
11.94,415,12,95,238,-8,-2
12.05,415,15,95,235,-4,-5
12.1,414,10,94,234,-10,-6
12.15,413,14,93,230,-6,-10
12.25,412,12,92,230,-12,-10
12.31,413,23,93,230,-12,-10
12.35,415,24,95,230,-12,-10
12.45,416,25,96,230,-12,-10
12.5,417,26,97,230,-12,-10
12.55,416,20,96,230,-12,-10
12.67,416,23,96,230,-12,-10
12.73,415,18,95,230,-12,-10
12.83,414,21,94,228,-8,-12
12.87,415,29,95,228,-11,-12
12.93,415,25,95,230,-17,-10
13.03,415,26,95,230,-11,-10
13.08,413,20,93,230,-11,-10
13.15,412,21,92,230,-11,-10
13.22,412,28,92,230,-11,-10
13.29,413,34,93,230,-11,-10
13.34,414,34,94,230,-11,-10
13.4,415,35,95,230,-11,-10
13.45,414,26,94,228,-5,-12
13.5,415,36,95,227,-8,-13
13.56,415,32,95,226,-8,-14
13.62,415,33,95,226,-10,-14
13.66,414,31,94,227,-12,-13
13.76,414,34,94,229,-16,-11
13.82,413,31,93,230,-13,-10
13.89,412,34,92,230,-11,-10
13.99,412,36,92,230,-11,-10
14.04,411,32,91,230,-11,-10
14.09,408,26,88,230,-10,-10
14.16,406,29,86,230,-10,-10
14.22,403,23,83,230,-10,-10
14.27,398,12,78,230,-10,-10
14.33,396,28,76,231,-13,-9
14.38,391,14,71,230,-8,-10
14.44,385,5,65,230,-10,-10
14.49,378,10,58,230,-10,-10
14.57,375,20,55,230,-10,-10
14.62,367,4,47,229,-8,-11
14.69,357,-13,37,226,-2,-14
14.75,353,10,33,225,-6,-15
14.8,342,-15,22,225,-9,-15
14.87,330,-20,10,222,-2,-18
14.94,317,-31,-3,221,-6,-19
15.0,303,-32,-17,218,-1,-22
15.06,288,-46,-32,217,-5,-23
15.13,280,-19,-40,216,-5,-24
15.19,264,-50,-56,214,-3,-26
15.26,250,-35,-70,210,1,-30
15.34,233,-60,-87,207,1,-33
15.41,217,-77,-103,205,0,-35
15.47,200,-72,-120,201,4,-39
15.53,185,-87,-135,197,8,-43
15.58,169,-95,-151,194,5,-46
15.64,154,-86,-166,190,8,-50
15.69,133,-122,-187,185,12,-55
15.75,135,-19,-185,184,1,-56
15.81,141,-4,-179,182,4,-58
15.87,148,16,-172,181,3,-59
15.92,152,-7,-168,179,6,-61
15.96,159,11,-161,177,7,-63
16.01,170,29,-150,177,1,-63
16.1,174,-19,-146,175,4,-65
16.19,186,32,-134,174,5,-66
16.24,199,36,-121,173,5,-67
16.3,206,-1,-114,173,3,-67
16.38,215,10,-105,173,3,-67
16.45,238,91,-82,174,1,-66
16.51,258,76,-62,174,4,-66
16.56,270,44,-50,175,1,-65
16.62,276,17,-44,177,-1,-63
16.68,290,64,-30,178,1,-62
16.73,300,46,-20,180,-2,-60
16.78,306,8,-14,182,2,-58
16.92,310,17,-10,182,5,-58
16.96,315,25,-5,184,-2,-56
17.01,318,5,-2,186,3,-54
17.14,319,4,-1,187,2,-53
17.19,318,-5,-2,190,-3,-50
17.29,310,-24,-10,197,-7,-43
17.34,306,-22,-14,198,2,-42
17.39,298,-39,-22,199,2,-41
17.49,281,-59,-39,202,-1,-38
17.54,270,-69,-50,204,-2,-36
17.59,248,-122,-72,206,-2,-34
17.7,239,-41,-81,206,4,-34
17.75,225,-86,-95,209,-4,-31
17.81,202,-128,-118,213,-6,-27
17.87,194,-64,-126,213,4,-27
17.93,181,-94,-139,215,-1,-25
17.99,158,-128,-162,219,-6,-21
18.05,159,-39,-161,204,53,-36
18.1,107,-330,-213,216,-34,-24
18.15,105,-65,-215,230,-19,-10
18.25,144,167,-176,230,2,-10
